"VPS","PWGTP","fac"
6,81,1
6,199,1
11,55,1
1,70,1
6,126,1
6,24,1
1,250,1
11,95,1
6,20,1
6,107,1
6,131,1
6,120,1
6,35,1
11,19,1
6,96,1
1,204,1
6,63,1
11,107,1
6,23,1
11,10,1
11,55,1
6,32,1
6,113,1
11,27,1
6,69,1
11,86,1
6,30,1
6,66,1
6,21,1
6,63,1
6,178,1
6,25,1
6,87,1
6,107,1
11,46,1
6,66,1
6,105,1
6,75,1
6,64,1
6,146,1
6,56,1
6,24,1
6,140,1
11,42,1
6,134,1
6,92,1
6,80,1
1,166,1
1,86,1
6,291,1
6,18,1
6,19,1
6,137,1
1,20,1
1,59,1
11,40,1
6,41,1
6,21,1
1,25,1
11,73,1
6,172,1
6,67,1
1,57,1
1,37,1
6,53,1
6,65,1
6,49,1
11,120,1
1,111,1
6,187,1
6,73,1
6,122,1
6,98,1
6,118,1
1,99,1
6,20,1
6,139,1
6,315,1
6,61,1
11,155,1
6,78,1
6,83,1
11,58,1
6,59,1
6,204,1
6,37,1
6,77,1
6,102,1
6,77,1
11,102,1
1,15,1
6,17,1
6,208,1
11,45,1
6,84,1
1,46,1
6,65,1
6,384,1
1,65,1
6,100,1
6,51,1
1,160,1
1,38,1
6,42,1
1,40,1
6,77,1
6,274,1
11,132,1
6,26,1
6,46,1
1,37,1
6,132,1
6,22,1
6,21,1
1,48,1
6,41,1
6,125,1
6,116,1
6,72,1
11,18,1
6,34,1
6,123,1
1,54,1
6,73,1
6,16,1
6,142,1
6,63,1
6,48,1
6,136,1
6,55,1
6,87,1
6,131,1
6,48,1
6,87,1
11,13,1
6,85,1
11,82,1
6,123,1
6,35,1
6,14,1
6,71,1
6,17,1
6,21,1
6,53,1
6,46,1
6,113,1
6,45,1
6,17,1
6,979,1
1,17,1
6,19,1
6,18,1
6,10,1
6,114,1
6,194,1
1,142,1
1,8,1
1,112,1
6,59,1
6,52,1
1,60,1
6,64,1
6,78,1
1,61,1
6,69,1
6,40,1
6,61,1
11,185,1
6,114,1
6,80,1
6,205,1
6,65,1
6,14,1
6,118,1
6,43,1
11,90,1
6,84,1
6,37,1
6,63,1
11,76,1
6,156,1
6,80,1
6,123,1
6,13,1
1,24,1
6,200,1
6,554,1
6,24,1
6,59,1
6,78,1
6,67,1
11,19,1
6,50,1
6,91,1
6,188,1
6,70,1
1,34,1
1,21,1
11,87,1
6,44,1
6,143,1
6,77,1
1,95,1
11,59,1
1,10,1
6,101,1
6,235,1
6,29,1
11,12,1
6,45,1
6,19,1
6,77,1
6,97,1
6,85,1
1,122,1
1,19,1
6,41,1
1,37,1
6,87,1
6,129,1
1,197,1
6,201,1
1,13,1
6,12,1
6,83,1
11,62,1
6,65,1
1,202,1
6,71,1
6,89,1
6,130,1
6,47,1
11,163,1
6,137,1
6,80,1
6,48,1
6,115,1
1,100,1
11,19,1
11,18,1
6,119,1
6,99,1
6,95,1
1,175,1
6,84,1
6,72,1
1,72,1
11,81,1
11,94,1
11,120,1
6,13,1
6,122,1
11,88,1
6,14,1
6,21,1
6,122,1
6,45,1
6,20,1
1,59,1
11,107,1
6,82,1
6,44,1
6,131,1
6,19,1
11,24,1
6,14,1
6,90,1
6,8,1
6,180,1
6,88,1
6,93,1
6,151,1
6,135,1
6,66,1
6,203,1
11,13,1
6,95,1
6,102,1
6,69,1
6,61,1
6,36,1
6,64,1
6,23,1
6,111,1
6,123,1
6,18,1
6,50,1
6,48,1
1,31,1
6,40,1
6,46,1
1,232,1
6,70,1
1,121,1
6,78,1
1,84,1
6,100,1
6,14,1
6,108,1
6,353,1
6,67,1
6,62,1
6,96,1
6,92,1
6,88,1
1,45,1
6,156,1
6,34,1
6,87,1
11,16,1
1,20,1
1,246,1
6,40,1
6,57,1
6,333,1
6,84,1
6,70,1
11,64,1
1,527,1
6,73,1
6,142,1
6,62,1
6,558,1
1,21,1
1,15,1
11,87,1
6,76,1
6,83,1
6,56,1
11,70,1
6,78,1
6,80,1
6,155,1
6,134,1
6,53,1
6,86,1
6,133,1
6,70,1
11,56,1
6,70,1
6,134,1
1,18,1
6,17,1
6,50,1
6,48,1
11,74,1
11,73,1
6,19,1
6,35,1
1,118,1
6,55,1
6,26,1
6,98,1
1,96,1
6,34,1
11,99,1
6,55,1
6,31,1
1,137,1
6,36,1
6,119,1
6,73,1
1,155,1
6,23,1
6,49,1
6,28,1
6,45,1
11,64,1
6,81,1
6,70,1
11,5,1
6,81,1
6,79,1
6,102,1
6,133,1
6,16,1
6,134,1
6,65,1
11,93,1
6,19,1
6,69,1
6,65,1
6,14,1
6,113,1
1,74,1
6,104,1
6,38,1
11,33,1
1,24,1
6,63,1
11,109,1
6,37,1
1,101,1
6,16,1
6,46,1
6,39,1
6,14,1
6,21,1
6,72,1
6,221,1
6,220,1
6,88,1
6,120,1
11,18,1
6,160,1
6,42,1
6,243,1
1,143,1
6,108,1
6,50,1
6,49,1
1,136,1
11,119,1
1,34,1
6,53,1
1,77,1
6,65,1
6,117,1
1,50,1
6,158,1
6,70,1
6,39,1
1,14,1
6,21,1
6,14,1
1,92,1
6,39,1
11,18,1
6,83,1
6,112,1
6,95,1
6,17,1
6,68,1
6,19,1
6,107,1
6,105,1
6,60,1
6,75,1
6,14,1
1,77,1
6,17,1
6,51,1
11,21,1
11,39,1
11,123,1
6,60,1
6,172,1
6,114,1
6,66,1
6,103,1
6,583,1
6,66,1
6,62,1
6,89,1
6,127,1
6,119,1
11,108,1
6,17,1
6,175,1
1,45,1
6,36,1
6,156,1
6,59,1
11,56,1
6,41,1
6,63,1
6,22,1
6,159,1
6,57,1
11,68,1
6,66,1
6,57,1
6,22,1
6,126,1
6,10,1
6,103,1
6,28,1
6,35,1
6,52,1
1,36,1
6,67,1
6,18,1
6,112,1
1,53,1
6,203,1
6,78,1
6,41,1
6,68,1
6,70,1
6,52,1
11,20,1
1,179,1
6,21,1
6,114,1
11,31,1
6,23,1
1,209,1
6,16,1
1,180,1
6,78,1
6,38,1
11,57,1
1,497,1
6,158,1
1,421,1
6,59,1
6,121,1
6,430,1
6,77,1
6,67,1
6,26,1
6,37,1
6,71,1
6,13,1
6,64,1
6,92,1
6,21,1
6,159,1
6,145,1
6,114,1
11,99,1
6,112,1
1,34,1
1,147,1
6,73,1
11,16,1
6,37,1
6,189,1
11,17,1
1,19,1
6,216,1
6,17,1
1,21,1
11,15,1
6,16,1
1,114,1
1,11,1
6,32,1
6,59,1
6,135,1
1,82,1
6,29,1
6,91,1
1,91,1
1,254,1
6,102,1
6,277,1
6,71,1
6,22,1
6,62,1
6,112,1
6,152,1
6,10,1
11,61,1
6,41,1
6,154,1
6,17,1
1,55,1
6,53,1
1,167,1
6,117,1
1,44,1
1,163,1
6,49,1
1,68,1
6,54,1
6,21,1
6,17,1
11,58,1
6,62,1
6,145,1
6,58,1
6,61,1
6,40,1
6,119,1
6,78,1
6,93,1
6,72,1
